team_id,coach,team,possession_orientation,block_height,attack_tempo,discipline
12274,Jorge Sampaoli,Argentina,94.0,94.0,88.0,38.0
8493,Bert van Marwijk,Australia,59.0,72.0,72.0,73.0
5629,Roberto Martínez,Belgium,69.0,25.0,84.0,41.0
6380,Tite,Brazil,84.0,78.0,81.0,81.0
12430,José Pékerman,Colombia,53.0,47.0,47.0,16.0
16871,Óscar Ramírez,Costa Rica,22.0,41.0,28.0,31.0
9598,Zlatko Dalić,Croatia,81.0,66.0,56.0,12.0
7712,Åge Hareide,Denmark,31.0,31.0,34.0,53.0
16129,Héctor Cúper,Egypt,34.0,19.0,31.0,66.0
2413,Gareth Southgate,England,72.0,88.0,94.0,78.0
4418,Didier Deschamps,France,44.0,28.0,53.0,50.0
3148,Joachim Löw,Germany,97.0,100.0,97.0,89.0
7839,Heimir Hallgrímsson,Iceland,6.0,16.0,6.0,73.0
10840,Carlos Queiroz,Iran,3.0,9.0,3.0,22.0
12913,Akira Nishino,Japan,75.0,44.0,75.0,94.0
14855,Shin Tae-yong,Korea Republic,19.0,6.0,16.0,3.0
15473,Juan Carlos Osorio,Mexico,62.0,22.0,41.0,45.0
16216,Hervé Renard,Morocco,47.0,81.0,38.0,0.0
16823,Gernot Rohr,Nigeria,38.0,38.0,22.0,31.0
17929,Hernán Darío Gómez,Panama,9.0,34.0,59.0,9.0
15594,Ricardo Gareca,Peru,56.0,12.0,50.0,69.0
13869,Adam Nawałka,Poland,50.0,84.0,62.0,89.0
9905,Fernando Santos,Portugal,78.0,53.0,66.0,45.0
14358,Stanislav Cherchesov,Russia,12.0,91.0,12.0,6.0
16521,Juan Antonio Pizzi,Saudi Arabia,91.0,56.0,91.0,84.0
19314,Aliou Cissé,Senegal,25.0,75.0,19.0,31.0
17322,Mladen Krstajić,Serbia,28.0,62.0,25.0,22.0
1598,Fernando Hierro,Spain,100.0,97.0,100.0,97.0
7047,Janne Andersson,Sweden,16.0,3.0,9.0,59.0
6697,Vladimir Petković,Switzerland,88.0,50.0,78.0,56.0
16276,Nabil Maâloul,Tunisia,66.0,59.0,69.0,22.0
15670,Óscar Tabárez,Uruguay,41.0,69.0,44.0,62.0
